label,pattern,replace,presence
clawed_petal_term,clawed petal
clawed_petal_term,clawed petals
fusion_of_perianth_term,basally connate,connate at base
fusion_of_perianth_term,connate at base,
fusion_of_perianth_term,connate,
fusion_of_perianth_term,distinct,
fusion_term,fusion,fused
fusion_term,fusion,fusion
number_of_perianth_parts_term,number of perianth parts
number_of_perianth_whorls_term,number of perianth whorls
number_of_petals_term,number of petals
perianth_differentiation_term,differentiated,differentiated
perianth_differentiation_term,homochlamydeous,undifferentiated
perianth_differentiation_term,petal,differentiated
perianth_differentiation_term,sepal,differentiated
perianth_differentiation_term,tepals,undifferentiated
perianth_differentiation_term,undifferentiated,undifferentiated
perianth_margin_form_term,emarginate,entire
perianth_margin_form_term,entire,entire
perianth_margin_form_term,filiform,toothed
perianth_margin_form_term,fimbriate,toothed_term
perianth_margin_form_term,fringed,toothed
perianth_margin_form_term,toothed,toothed
perianth_margin_term,perianth margin
perianth_merism_term,dimerous,
perianth_merism_term,heptamerous,
perianth_merism_term,hexamerous,
perianth_merism_term,octomerous,
perianth_merism_term,pentamerous,
perianth_merism_term,tetramerous,
perianth_merism_term,trimerous,
perianth_phyllotaxy_term,spiral,spiral
perianth_phyllotaxy_term,spiraled,spiral
perianth_phyllotaxy_term,spirals,spiral
perianth_phyllotaxy_term,whorled,whorled
perianth_phyllotaxy_term,whorls,whorled
perianth_saccate_term,sepal,differentiated
perianth_shape_term,bell-shape,bell-shaped
perianth_shape_term,bell-shaped,bell-shaped
perianth_shape_term,bilabiate,
perianth_shape_term,campanulate,bell-shaped
perianth_shape_term,funnelform,funnelform
perianth_shape_term,hypocrateriform,hypocrateriform
perianth_shape_term,reflexed,
perianth_shape_term,rotate,funnelform
perianth_shape_term,salverform,hypocrateriform
perianth_shape_term,tabular,tabular
perianth_shape_term,tube-shaped,tabular
perianth_shape_term,tubular,tabular
perianth_shape_term,urceolate,bell-shaped
perianth_shape_term,urn-shape,bell-shaped
perianth_shape_term,urn-shaped,bell-shaped
perianth_shape_term,wheel-shaped,funnelform
perianth_term,perianth,
perianth_whorl_count_term,biseriate,2
perianth_whorl_count_term,dicyclic,2
perianth_whorl_count_term,uniseriate,1
petal_arrangement_term,imbricate,
petal_arrangement_term,valvate,
petals_fused_term,fused petals,
petals_fused_term,petals fused,
phyllotaxy_term,phyllotaxy,phyllotaxy
saccate_perianth_term,saccate perianth,
symmetry_of_perianth_term,actinomorphic,actinomorphic
symmetry_of_perianth_term,asymmetric,
symmetry_of_perianth_term,bilaterally symmetric,zygomorphic
symmetry_of_perianth_term,disymmetric,
symmetry_of_perianth_term,radially symmetric,actinomorphic
symmetry_of_perianth_term,radially symmetric,actinomorphic
symmetry_of_perianth_term,symmetric,symmetric
symmetry_of_perianth_term,zygomorphic,zygomorphic
